County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Grocery/Manufacturer,E & D AFRICAN MARKET LLC         ,E & D AFRICAN MARKET   ,2000,42.673848,-73.782894
Albany,Grocery/Manufacturer,88 WOLF RD INC                   ,WOLF RD MOBIL          ,1500,42.715359,-73.81165
Albany,Deli,FELIPITO MERCEDES                ,CHICO CHICKEN DELI & GR,1500,42.640383,-73.757649
Albany,Grocery/Manufacturer,HELDERBERG MOUNTAIN BREWING COMPA,HELDERBERG MOUNTAIN BRE,800,42.630263,-74.078872
Albany,Deli,RAFIK DELI INC                   ,RAFIK DELI             ,0,42.659806,-73.766843
Albany,Sushi,BENTO NOUVEAU INC                ,BENTO SUSHI            ,100,42.752101,-73.766837
Albany,Store,HARI & AADI CO                   ,GARY COUNTRY FARM      ,2000,42.657939,-73.815329
Albany,Deli,DEEDEES NEWS & DELI LLC          ,COULSON'S NEWS & DELI  ,2200,42.648564,-73.750777
Albany,Grocery/Manufacturer,D & L DREAMS                     ,CHOPS & HOPS           ,240,42.771902,-73.823151
Albany,Store,BROOKS ANGELA                    ,GEORGIAS SUGAR SHACK   ,0,42.713167,-73.815194
Albany,Specialty Shop,HALAL SUPERMARKET INC            ,SHOP&SAVE HALAL SUPERMA,0,42.738083,-73.76217
Albany,Grocery/Manufacturer,SBINTZ SPENWOOD LLC              ,THE CHEESE TRAVELER    ,1100,42.638603,-73.788523
Albany,Grocery/Manufacturer,A PINCH OR A POUND LLC           ,A PINCH OR A POUND ALBA,0,42.687038,-73.850605
Albany,Grocery/Manufacturer,A PINCH OR A POUND LLC           ,A PINCH OR A POUND COLO,0,42.708249,-73.816464
Albany,Deli,SINDONIS COUNTRY DELI LLC        ,SIDONIS COUNTRY DELI   ,1032,42.748642,-74.045137
Albany,Grocery/Manufacturer,1095 LOUDON INC                  ,BOGHT CORNERS MOBIL    ,3700,42.783249,-73.744483
Albany,Store,FORTEEN STAR ENTERPRISES INC     ,CENTRAL AVE PHARMACY   ,2000,42.666051,-73.773972
Albany,Grocery/Manufacturer,DAILY STOP MARKET INC            ,DAILY STOP MARKET      ,1800,42.660412,-73.767535
Albany,Convenience Store,7-ELEVEN INC                     ,SUNOCO # 40429H        ,1600,42.639931,-73.784962
Albany,Gas Station,SPEEDWAY LLC                     ,SPEEDWAY #07892        ,3500,42.765321,-73.754852
Albany,Grocery/Manufacturer,HERNANDEZ HECTOR                 ,OAXAQUENA TRIQUI       ,1600,42.663325,-73.771783
Albany,Grocery/Manufacturer,SHAMOUNIAN BERJOUHI              ,NORAS GROCERY          ,1800,42.737338,-73.724922
Albany,Grocery/Manufacturer,CENTRAL TOWER GROCERY INC        ,CENTRAL TOWER GROCERY  ,0,42.668322,-73.776563
Albany,Discount Store,DOLLAR TREE STORES INC           ,DOLLAR TREE #06253     ,10265,42.706611,-73.777165
Albany,Grocery/Manufacturer,KARIM RETAIL INC                 ,QUAIL STREET MARKET & D,0,42.662893,-73.776162
Albany,Grocery/Manufacturer,K AND K ALBANY INC               ,K AND K ALBANY         ,1000,42.712511,-73.705255
Albany,Convenience Store,CUMBERLAND FARMS INC             ,CUMBERLAND FARMS #1697 ,0,42.719926,-73.835528
Albany,Grocery/Manufacturer,NAPREDAK LLC                     ,FOX CREEK MARKET       ,0,42.625194,-74.133972
Albany,Grocery/Manufacturer,MOHAMED-ALI ANWAR                ,DANNA MARKET           ,2000,42.665928,-73.772687
Albany,Grocery/Manufacturer,ROUTE 20 BUTCHER AND DELI        ,ROUTE 20 BUTCHER AND DE,1800,42.690106,-73.865908
Albany,Deli,AL ASHWAL ABDULMOLLA A           ,LEXINGTON DELI & GROCER,1600,42.66171,-73.765017
